wt, s, d, c, i1, i1ref, i1delta
1.000000000000000021e-03,1.000000000000000000e+00,1.095771190744057266e+00,9.872676045526483923e-01,3.804168234329677784e-05,9.356357241542493514e-04,4.737205200063761279e-02
7.855569411307920802e-02,1.000000000000000000e+00,1.032472879864483994e+00,2.021620889167685675e-04,2.355289335359267780e-02,7.342395509232234330e-02,-1.601415696281104084e-03
1.545414349040312996e-01,1.000000000000000000e+00,9.702640780339130133e-01,9.676826621992760113e-01,9.244657078988731402e-02,1.440196385921804212e-01,-3.303421759844542283e-03
1.548554255684567449e-01,0.000000000000000000e+00,9.700071257039650785e-01,9.716805155055174836e-01,9.282496739733392399e-02,1.443099112031555331e-01,-3.215297763373044238e-03
1.570533602194346956e-01,0.000000000000000000e+00,9.682085436089828967e-01,9.996654886492055692e-01,7.685603429425545696e-02,1.463414195066014833e-01,-2.121573916989746150e-02
1.595652855348380639e-01,0.000000000000000000e+00,9.661532097806868613e-01,9.683516849008655392e-01,5.560698446150651869e-02,1.486622770409865013e-01,-4.478564653703141080e-02
1.598792761992634814e-01,1.000000000000000000e+00,9.658963078025157856e-01,9.643538315946242889e-01,5.295429611389611962e-02,1.489523185782185566e-01,-4.772837642187386514e-02
2.355510263257901693e-01,1.000000000000000000e+00,9.041400020370804480e-01,8.711847905060743358e-04,1.690078357309270918e-01,2.183576080693683807e-01,-1.080126295992724084e-03
3.021170471839795812e-01,1.000000000000000000e+00,8.502568904211054157e-01,8.466737161326185479e-01,3.077906622550278803e-01,2.783910040913081252e-01,7.766930420616832698e-02
3.024310378484050266e-01,0.000000000000000000e+00,8.500041098627835190e-01,8.506715694388597981e-01,3.085249624668988111e-01,2.786714655801768026e-01,7.812314292917058034e-02
3.140486924321456152e-01,0.000000000000000000e+00,8.413618353677945194e-01,9.985921417697825042e-01,2.259188313795998937e-01,2.890289932278056750e-01,-1.484051580575721646e-02
3.272363003380133750e-01,0.000000000000000000e+00,8.307832212754812096e-01,8.334980193680889826e-01,1.307526707205022287e-01,3.007388373378301893e-01,-1.217165205748793888e-01
3.275502910024387648e-01,1.000000000000000000e+00,8.305317023903816542e-01,8.295001660618481765e-01,1.285026186284844441e-01,3.010170137453780370e-01,-1.242447490744450211e-01
3.925463585385011167e-01,1.000000000000000000e+00,7.788649878663249648e-01,1.944531669928473150e-03,3.076680314565343743e-01,3.579203296969423742e-01,-1.982652197959434981e-03
4.503206407927787258e-01,1.000000000000000000e+00,7.337187770826175681e-01,7.336604766784438070e-01,4.935348500444218245e-01,4.072394762529016332e-01,1.345650198339687631e-01
4.506346314572041711e-01,0.000000000000000000e+00,7.334757161282590143e-01,7.376583299846846131e-01,4.946104516053174138e-01,4.075039493757425246e-01,1.353761482720234610e-01
4.713580153092820080e-01,0.000000000000000000e+00,7.174930892634368007e-01,9.984833518033990885e-01,3.682460609737899793e-01,4.248691007910266881e-01,-8.353393774788143988e-03
4.945933244767632408e-01,0.000000000000000000e+00,6.997181298507130220e-01,7.026422071415536763e-01,2.279377477608987845e-01,4.441217920853418599e-01,-1.679143982819945036e-01
4.949073151411886307e-01,1.000000000000000000e+00,6.994790189042268125e-01,6.986443538353128702e-01,2.260673988285380187e-01,4.443803449477998213e-01,-1.700433000768132308e-01
5.498556814156374539e-01,1.000000000000000000e+00,6.581128808927396712e-01,9.799747568894900951e-04,4.406207428123474767e-01,4.889298042775612196e-01,-3.941542276517800980e-05
5.985242344015778704e-01,1.000000000000000000e+00,6.223339953229355404e-01,6.206472372242686220e-01,6.487074865984443495e-01,5.271595763722967121e-01,1.698175562685962092e-01
5.988382250660032602e-01,0.000000000000000000e+00,6.221059828729932351e-01,6.246450905305094281e-01,6.501007629085558959e-01,5.274022627854481060e-01,1.709681461655563617e-01
6.283533475219930109e-01,0.000000000000000000e+00,6.008425707212777800e-01,9.995566986828219314e-01,4.994877692909697187e-01,5.499793259184795335e-01,-2.221910585061249999e-03
6.613223672866622715e-01,0.000000000000000000e+00,5.775035618281540994e-01,5.797821015275008705e-01,3.359606055747192399e-01,5.746310448195548481e-01,-1.904007932023870364e-01
6.616363579510876614e-01,1.000000000000000000e+00,5.772834568012253920e-01,5.757842482212591761e-01,3.344359374736476931e-01,5.748628627526930490e-01,-1.921572792365967841e-01
7.068510136283484568e-01,1.000000000000000000e+00,5.460348705632470656e-01,9.337212253335280820e-05,5.579534957455081212e-01,6.076416787936955721e-01,-1.418537005738886025e-03
7.473558093392278501e-01,1.000000000000000000e+00,5.188286773489908521e-01,5.156297043825759374e-01,7.700079243773546578e-01,6.359532556938374270e-01,1.823243147259658026e-01
7.476698000036532399e-01,0.000000000000000000e+00,5.186208073735406598e-01,5.196275576888158554e-01,7.716894182313597250e-01,6.361687093321485298e-01,1.837903549416597671e-01
7.853486797347039028e-01,0.000000000000000000e+00,4.940273257068913404e-01,9.993699544377552257e-01,6.137145652273435781e-01,6.615617366077075623e-01,4.224746620845806766e-04
8.271094381032850773e-01,0.000000000000000000e+00,4.676113235644703825e-01,4.689155558321704831e-01,4.463395211468270674e-01,6.886069754353952854e-01,-1.939978082461196462e-01
8.274234287677104671e-01,1.000000000000000000e+00,4.674161711147240550e-01,4.649177025259305651e-01,4.451168018648504754e-01,6.888058329329728169e-01,-1.954193850256737697e-01
8.638463458410593487e-01,1.000000000000000000e+00,4.451402360675283387e-01,1.166719001956195712e-03,6.580259822321056218e-01,7.114074208130767296e-01,-5.111792538522542950e-03
8.971293562701541102e-01,1.000000000000000000e+00,4.254283000350598809e-01,4.226057314596065595e-01,8.602213551379229717e-01,7.312361768968842490e-01,1.772548242834872945e-01
8.974433469345795000e-01,0.000000000000000000e+00,4.252453386292226467e-01,4.266035847658464775e-01,8.621552920580521917e-01,7.314194178610146091e-01,1.790055202394861544e-01
9.423440119474149057e-01,0.000000000000000000e+00,3.996746835500025186e-01,9.982966075583323828e-01,7.095127943266742454e-01,7.568717457892736311e-01,9.106945798491791755e-04
9.916405462622061018e-01,0.000000000000000000e+00,3.729976990827042482e-01,3.740404233618068730e-01,5.514365432325627481e-01,7.830570629331564669e-01,-1.833508736581451470e-01
9.919545369266314916e-01,1.000000000000000000e+00,3.728326030660294443e-01,3.700425700555651787e-01,5.504640983700765933e-01,7.832178157992620848e-01,-1.844840713867369197e-01
1.021155668718195741e+00,1.000000000000000000e+00,3.577514074047263848e-01,1.757787424862655712e-03,7.428280603671412186e-01,7.978282143397070758e-01,-6.730507930117292370e-03
1.047844875194356540e+00,1.000000000000000000e+00,3.444467039889233528e-01,3.415753184553587118e-01,9.236339281262562206e-01,8.105871008451813742e-01,1.613164733235234183e-01
1.048158865858781930e+00,0.000000000000000000e+00,3.442929417524196456e-01,3.455731717616004062e-01,9.257781199546553097e-01,8.107337866265809101e-01,1.633139793705229714e-01
1.099653334824551187e+00,0.000000000000000000e+00,3.199624805038555619e-01,9.987788860148505421e-01,7.843069739066612645e-01,8.336984075954898543e-01,-1.121787646380024983e-03
1.154601701098999955e+00,0.000000000000000000e+00,2.959919279731771935e-01,2.991545574226481818e-01,6.428195754174179655e-01,8.557643936939537399e-01,-1.646751722340872026e-01
1.154915691763425345e+00,1.000000000000000000e+00,2.958609999661725443e-01,2.951567041164082639e-01,6.420398418342012636e-01,8.558831221034431946e-01,-1.655736342267933592e-01
1.178151000930906633e+00,1.000000000000000000e+00,2.863660254924113580e-01,6.844405454380364517e-04,8.081462750274660545e-01,8.644340856556200769e-01,-8.018164585705457592e-03
1.199816356776260751e+00,1.000000000000000000e+00,2.778599348691562776e-01,2.765363186760776415e-01,9.666233885557172778e-01,8.719869343110013826e-01,1.429061002871644670e-01
1.200130347440686140e+00,0.000000000000000000e+00,2.777391429185438465e-01,2.805341719823193358e-01,9.689303008937396600e-01,8.720933954058280868e-01,1.451065515303601450e-01
1.256648667037262079e+00,0.000000000000000000e+00,2.571689535353963163e-01,9.998522328942733850e-01,8.414723136962021233e-01,8.898459560797969958e-01,-1.039963411463076803e-04
1.316306893278092138e+00,0.000000000000000000e+00,2.380331586679312883e-01,2.402601047084544916e-01,7.145636277710681883e-01,9.055008800057476881e-01,-1.426676061922309280e-01
1.316620883942517750e+00,1.000000000000000000e+00,2.379395670932716589e-01,2.362622514022127973e-01,7.139157761311981654e-01,9.055747951049424316e-01,-1.433893729312956944e-01
1.335146333143617525e+00,1.000000000000000000e+00,2.325510812286755991e-01,3.889063339848064516e-04,8.531963306181042928e-01,9.097775142691703065e-01,-8.311537608617448891e-03
1.353043801015866521e+00,1.000000000000000000e+00,2.275955993014784906e-01,2.274887321217597957e-01,9.906800486334127465e-01,9.135412595156794380e-01,1.254084351601818803e-01
1.353357791680291911e+00,0.000000000000000000e+00,2.275108668335270312e-01,2.314865854280014901e-01,9.930971264513772656e-01,9.136046816711661522e-01,1.277620908226596852e-01
1.413643999249972971e+00,0.000000000000000000e+00,2.126640231588810270e-01,9.990744202263037721e-01,8.763045444552514107e-01,9.241060073343690950e-01,4.681831633308805585e-04
1.476442132135057372e+00,0.000000000000000000e+00,2.002438678819136730e-01,2.013549185254639440e-01,7.587297681688331963e-01,9.314741197010064644e-01,-1.244747054897246963e-01
1.476756122799482762e+00,1.000000000000000000e+00,2.001896600318512631e-01,1.973570652192258024e-01,7.581508558307403778e-01,9.315017521352456642e-01,-1.250812502620567146e-01
1.492141665356328417e+00,1.000000000000000000e+00,1.976302581516000412e-01,1.462253213407649355e-03,8.765310250493725253e-01,9.327431900961967726e-01,-7.942519004375682423e-03
1.507527207913174072e+00,1.000000000000000000e+00,1.952609511109575369e-01,1.944325587924069509e-01,9.975292505158590561e-01,9.337638381831459000e-01,1.120350583751617279e-01
1.507841198577599684e+00,0.000000000000000000e+00,1.952145812461416330e-01,1.984304120986521980e-01,1.000000000000000000e+00,9.337823670153170275e-01,1.144872790271315444e-01
1.570639331462684085e+00,0.000000000000000000e+00,1.875423749585615474e-01,9.980010733468809292e-01,8.867102334954853893e-01,9.356358685629961869e-01,-6.559890250622327224e-04
1.634693427005470046e+00,0.000000000000000000e+00,1.830193987123157617e-01,1.864368521799235623e-01,7.705539778120015226e-01,9.337265043409267440e-01,-1.149028804864766495e-01
1.635007417669895435e+00,1.000000000000000000e+00,1.830054779667746323e-01,1.824389988736818680e-01,7.699811642076563878e-01,9.337076993345594378e-01,-1.154568890844544782e-01
1.649450988233464921e+00,1.000000000000000000e+00,1.824522909397374437e-01,1.462253213411202069e-03,8.810996208677022157e-01,9.327431900961967726e-01,-3.373923186045992006e-03
