wt, s, d, c
1.000000000000000021e-03,0.000000000000000000e+00,3.183098861837907012e-04,7.957747154594766933e-03
1.256542937768924950e-01,0.000000000000000000e+00,3.999700395062724678e-02,9.999250987656811418e-01
1.259682844413179126e-01,1.000000000000000000e+00,4.009695028328327804e-02,2.423757082081756664e-03
1.306781444076992593e-01,1.000000000000000000e+00,4.159614527312371218e-02,3.990363182809275600e-02
1.309921350721246769e-01,0.000000000000000000e+00,4.169609160577974344e-02,4.240229014449337086e-02
2.512505595470612696e-01,0.000000000000000000e+00,7.997553701303879159e-02,9.993884253259697203e-01
2.515645502114866594e-01,1.000000000000000000e+00,8.007548334569480897e-02,1.887083642370335212e-03
2.616122514731001880e-01,1.000000000000000000e+00,8.327376599068775365e-02,8.184414976719356360e-02
2.619262421375255778e-01,0.000000000000000000e+00,8.337371232334377102e-02,8.434280808359417847e-02
3.768468253172300164e-01,0.000000000000000000e+00,1.199540700754503364e-01,9.988517518862582989e-01
3.771608159816554617e-01,1.000000000000000000e+00,1.200540164081063677e-01,1.350410202658913761e-03
3.925463585385011167e-01,1.000000000000000000e+00,1.249513867082517743e-01,1.237846677062943712e-01
3.928603492029265620e-01,0.000000000000000000e+00,1.250513330409078194e-01,1.262833260226949861e-01
5.024430910873988188e-01,0.000000000000000000e+00,1.599326031378618951e-01,9.983150784465468774e-01
5.027570817518242086e-01,1.000000000000000000e+00,1.600325494705178986e-01,8.137367629474923092e-04
5.234804656039020454e-01,1.000000000000000000e+00,1.666290074258158227e-01,1.657251856453951788e-01
5.237944562683274352e-01,0.000000000000000000e+00,1.667289537584718262e-01,1.682238439617957937e-01
6.280393568575675101e-01,0.000000000000000000e+00,1.999111362002734260e-01,9.977784050068345678e-01
6.283533475219930109e-01,1.000000000000000000e+00,2.000110825329294573e-01,2.770633232360708575e-04
6.544145726693030296e-01,1.000000000000000000e+00,2.083066281433798572e-01,2.076657035844959864e-01
6.547285633337284194e-01,0.000000000000000000e+00,2.084065744760358885e-01,2.101643619008966013e-01
7.539496132921617022e-01,0.000000000000000000e+00,2.399896155953409882e-01,9.997403898835246494e-01
7.542636039565870920e-01,1.000000000000000000e+00,2.400895619279970195e-01,2.239048199924376092e-03
7.853486797347039028e-01,1.000000000000000000e+00,2.499842488609438917e-01,2.496062215235967940e-01
7.856626703991292926e-01,0.000000000000000000e+00,2.500841951935999230e-01,2.521048798399965207e-01
8.795458790623305045e-01,0.000000000000000000e+00,2.799681486577525469e-01,9.992037164438132280e-01
8.798598697267558943e-01,1.000000000000000000e+00,2.800680949904085781e-01,1.702374760213842819e-03
9.162827868001048870e-01,1.000000000000000000e+00,2.916618695785079263e-01,2.915467394626976017e-01
9.165967774645302768e-01,0.000000000000000000e+00,2.917618159111639575e-01,2.940453977790982165e-01
1.005142144832499085e+00,0.000000000000000000e+00,3.199466817201640501e-01,9.986670430041000301e-01
1.005456135496924475e+00,1.000000000000000000e+00,3.200466280528200813e-01,1.165701320500645011e-03
1.046902903201080148e+00,1.000000000000000000e+00,3.332395439634158740e-01,3.309885990853960180e-01
1.047216893865505760e+00,0.000000000000000000e+00,3.333394902960719608e-01,3.334872574017975211e-01
1.130738410602667887e+00,0.000000000000000000e+00,3.599252147825756087e-01,9.981303695643894969e-01
1.131052401267093277e+00,1.000000000000000000e+00,3.600251611152315845e-01,6.290278807892235591e-04
1.177837010266481244e+00,1.000000000000000000e+00,3.749171646809799641e-01,3.729291170244977138e-01
1.178151000930906633e+00,0.000000000000000000e+00,3.750171110136359398e-01,3.754277753408974405e-01
1.256334676372836689e+00,0.000000000000000000e+00,3.999037478449871674e-01,9.975936961246780754e-01
1.256648667037262079e+00,1.000000000000000000e+00,4.000036941776431432e-01,9.235444107780210743e-05
1.308771117331882117e+00,1.000000000000000000e+00,4.165947853985439431e-01,4.148696349635976333e-01
1.309085107996307507e+00,0.000000000000000000e+00,4.166947317311999743e-01,4.173682932799991363e-01
1.382244932807430882e+00,0.000000000000000000e+00,4.399822272400547019e-01,9.995556810013663807e-01
1.382558923471856271e+00,1.000000000000000000e+00,4.400821735727107331e-01,2.054339317767883699e-03
1.439705224397282990e+00,1.000000000000000000e+00,4.582724061161079776e-01,4.568101529026975527e-01
1.440019215061708380e+00,0.000000000000000000e+00,4.583723524487640089e-01,4.593088112190990557e-01
1.507841198577599684e+00,0.000000000000000000e+00,4.799607603024662605e-01,9.990190075616567356e-01
1.508155189242025074e+00,1.000000000000000000e+00,4.800607066351222918e-01,1.517665878056462248e-03
1.570639331462684085e+00,1.000000000000000000e+00,4.999500268336720676e-01,4.987506708418010248e-01
