wt, s, d, c
1.000000000000000021e-03,0.000000000000000000e+00,3.183098861837907012e-04,1.591549430918948183e-02
6.285616089180810773e-02,0.000000000000000000e+00,2.000773741942147438e-02,9.996131290289262949e-01
1.231423684614891267e-01,0.000000000000000000e+00,3.919743328937901755e-02,4.012833553104910855e-02
1.234563591259145443e-01,1.000000000000000000e+00,3.929737962203504881e-02,3.513101889824787882e-02
1.256542937768924950e-01,1.000000000000000000e+00,3.999700395062724678e-02,1.498024686377164016e-04
1.281662190922958633e-01,1.000000000000000000e+00,4.079657461187547601e-02,3.982873059377345371e-02
1.284802097567212809e-01,0.000000000000000000e+00,4.089652094453150727e-02,4.482604722657512752e-02
1.884524266619768684e-01,0.000000000000000000e+00,5.998627048183301919e-02,9.993135240916504181e-01
2.462267089162545053e-01,0.000000000000000000e+00,7.837639569054233313e-02,8.118021547288378770e-02
2.465406995806799229e-01,1.000000000000000000e+00,7.847634202319836438e-02,7.618289884008255797e-02
2.512505595470612696e-01,1.000000000000000000e+00,7.997553701303879159e-02,1.223149348060559305e-03
2.562744101778680061e-01,1.000000000000000000e+00,8.157467833553525005e-02,7.873391677676266909e-02
2.565884008422934515e-01,0.000000000000000000e+00,8.167462466819129518e-02,8.373123340956389882e-02
3.140486924321456152e-01,0.000000000000000000e+00,9.996480354424455705e-02,9.982401772122271311e-01
3.693110493710198838e-01,0.000000000000000000e+00,1.175553580917056418e-01,1.222320954147182448e-01
3.696250400354453292e-01,1.000000000000000000e+00,1.176553044243616730e-01,1.172347787819170151e-01
3.768468253172300164e-01,1.000000000000000000e+00,1.199540700754503364e-01,2.296496227483402208e-03
3.843826012634401490e-01,1.000000000000000000e+00,1.223527820591950310e-01,1.176391029597514404e-01
3.846965919278655388e-01,0.000000000000000000e+00,1.224527283918510484e-01,1.226364195925517819e-01
4.399589488667398074e-01,0.000000000000000000e+00,1.400432829393121470e-01,9.978358530343935939e-01
4.927093804902106799e-01,0.000000000000000000e+00,1.568342668255249817e-01,1.582866587237514722e-01
4.930233711546361253e-01,1.000000000000000000e+00,1.569342131581810129e-01,1.532893420909502424e-01
5.027570817518242086e-01,1.000000000000000000e+00,1.600325494705178986e-01,1.627473525894984618e-03
5.128047830134376817e-01,1.000000000000000000e+00,1.632308321155108155e-01,1.615416057755414414e-01
