wt, i_1, i_1_fundamental, i_1_harmonic
0.000000000000000000e+00,0.000000000000000000e+00,-1.476065113036885701e-01,1.476065113036885701e-01
1.750190893364787087e-02,0.000000000000000000e+00,-1.437522282007338836e-01,1.437522282007338836e-01
3.500381786729574174e-02,0.000000000000000000e+00,-1.398539124969086500e-01,1.398539124969086500e-01
5.250572680094361261e-02,0.000000000000000000e+00,-1.359127582813870194e-01,1.359127582813870194e-01
7.000763573459148348e-02,0.000000000000000000e+00,-1.319299727651646603e-01,1.319299727651646603e-01
8.750954466823934741e-02,0.000000000000000000e+00,-1.279067759112793579e-01,1.279067759112793579e-01
1.050114536018872252e-01,0.000000000000000000e+00,-1.238444000611250151e-01,1.238444000611250151e-01
1.225133625355351030e-01,0.000000000000000000e+00,-1.197440895569746727e-01,1.197440895569746727e-01
1.400152714691829670e-01,0.000000000000000000e+00,-1.156071003608273029e-01,1.156071003608273029e-01
1.575171804028308309e-01,0.000000000000000000e+00,-1.114346996696950753e-01,1.114346996696950753e-01
1.750190893364786948e-01,0.000000000000000000e+00,-1.072281655274497925e-01,1.072281655274497925e-01
1.925209982701265865e-01,0.000000000000000000e+00,-1.029887864333463576e-01,1.029887864333463576e-01
2.100229072037744504e-01,0.000000000000000000e+00,-9.871786094734408268e-02,9.871786094734408268e-02
2.275248161374223144e-01,0.000000000000000000e+00,-9.441669729234572483e-02,9.441669729234572483e-02
2.450267250710702061e-01,0.000000000000000000e+00,-9.008661295347747400e-02,9.008661295347747400e-02
2.625286340047180422e-01,0.000000000000000000e+00,-8.572893427453112669e-02,8.572893427453112669e-02
2.800305429383659339e-01,0.000000000000000000e+00,-8.134499605169304148e-02,8.134499605169304148e-02
2.975324518720138256e-01,0.000000000000000000e+00,-7.693614112468424859e-02,7.693614112468424859e-02
3.150343608056616618e-01,0.000000000000000000e+00,-7.250371996543637787e-02,7.250371996543637787e-02
3.325362697393095535e-01,0.000000000000000000e+00,-6.804909026443005382e-02,6.804909026443005382e-02
3.500381786729573896e-01,0.000000000000000000e+00,-6.357361651482203169e-02,6.357361651482203169e-02
3.675400876066052813e-01,0.000000000000000000e+00,-5.907866959448870858e-02,5.907866959448870858e-02
3.850419965402531730e-01,0.000000000000000000e+00,-5.456562634611389351e-02,5.456562634611389351e-02
4.025439054739010092e-01,0.000000000000000000e+00,-5.003586915544949720e-02,5.003586915544949720e-02
4.200458144075489009e-01,0.000000000000000000e+00,-4.549078552787824692e-02,4.549078552787824692e-02
4.375477233411967926e-01,0.000000000000000000e+00,-4.093176766340850259e-02,4.093176766340850259e-02
4.550496322748446287e-01,0.000000000000000000e+00,-3.636021203023072357e-02,3.636021203023072357e-02
4.725515412084925204e-01,0.000000000000000000e+00,-3.177751893696668939e-02,3.177751893696668939e-02
4.900534501421404121e-01,0.000000000000000000e+00,-2.718509210374242535e-02,2.718509210374242535e-02
5.075553590757883038e-01,0.000000000000000000e+00,-2.258433823221608905e-02,2.258433823221608905e-02
5.250572680094360845e-01,0.000000000000000000e+00,-1.797666657469271234e-02,1.797666657469271234e-02
5.425591769430839761e-01,0.000000000000000000e+00,-1.336348850245711040e-02,1.336348850245711040e-02
