I_out, i_1_THD, lamba
4.340036653368087305e-08,5.949042043834644744e+00,1.657533508303892511e-01
1.135711800157642587e-06,4.236829140671404481e+00,2.296100143853970765e-01
6.687099894334136430e-06,3.353983503050585124e+00,2.854095700305171457e-01
2.273625749582564026e-05,2.830724339130227474e+00,3.324144000215435990e-01
5.793456561058868415e-05,2.478356234464825558e+00,3.729638611398193859e-01
1.235230832492689723e-04,2.218613019247229534e+00,4.089671010982513510e-01
2.333026038485383480e-04,2.015852416759708721e+00,4.414926277307096858e-01
4.035968218284516351e-04,1.850941349531509017e+00,4.712487170167124484e-01
6.532086627832611736e-04,1.712053643758185029e+00,4.988438213811026145e-01
1.003369840612930441e-03,1.593622180306762504e+00,5.243083530229040168e-01
1.477683714552147087e-03,1.490740546886547335e+00,5.478966245435367144e-01
2.102061528524906686e-03,1.400020547787022895e+00,5.697980090473069303e-01
2.904652124515127998e-03,1.319037140524973450e+00,5.901563983785202971e-01
3.915765230675993802e-03,1.245736761167850482e+00,6.091557069880750852e-01
5.167788433672049209e-03,1.178968257026690614e+00,6.268336080869280069e-01
6.695097953240247701e-03,1.117814745082584382e+00,6.432245541907497532e-01
8.533963345131512224e-03,1.061421590000049653e+00,6.583939088577853704e-01
1.072244626644097698e-02,1.009108969137510359e+00,6.723951667934527920e-01
1.330029344481181708e-02,9.603248342441746965e-01,6.852740709055782364e-01
1.630882400008532018e-02,9.145299025184956410e-01,6.970938068828559375e-01
1.979081127364329395e-02,8.713960760688521656e-01,7.078735651191229161e-01
2.379035932690959365e-02,8.306788821941557543e-01,7.176227660359040250e-01
2.835277427622862056e-02,7.921081868049488772e-01,7.263685551005546470e-01
3.352443063658533395e-02,7.554543976990903964e-01,7.341351683373343873e-01
3.935263285134116273e-02,7.205205723566271425e-01,7.409447278596700270e-01
4.588547218931349203e-02,6.871375466556716161e-01,7.468171839810974211e-01
5.317167919408061216e-02,6.551513793640386663e-01,7.517725518107045701e-01
6.126047187332761546e-02,6.243939612213093016e-01,7.558356078395082056e-01
7.020139981832473897e-02,5.948114655757424929e-01,7.590102139080535659e-01
8.004418444521732567e-02,5.663043465838458745e-01,7.613127300354555205e-01
9.083855555067754661e-02,5.387849512923005291e-01,7.627590583566246085e-01
1.026340843745801035e-01,5.121762627734405271e-01,7.633645875381896984e-01
1.154800133616989966e-01,4.864104702354938303e-01,7.631444344379685329e-01
1.294250828129279718e-01,4.614278679286436535e-01,7.621136411250938325e-01
1.445173546141874654e-01,4.371761601363842176e-01,7.602872137239360395e-01
1.608040332279645490e-01,4.136099119226637755e-01,7.576801726574305951e-01
1.783312841282732597e-01,3.906900786021984540e-01,7.543076923691017788e-01
1.971440498547536446e-01,3.683837815055190368e-01,7.501851982662819385e-01
2.172858638555557054e-01,3.466643573227166653e-01,7.453283659423569629e-01
2.387986622815878590e-01,3.255115615092087356e-01,7.397531810915285444e-01
2.617225938866314383e-01,3.049120436641130083e-01,7.334760067245202908e-01
2.860958281786827317e-01,2.848601883355529885e-01,7.265136266918025276e-01
3.119543619576994331e-01,2.653594142906256503e-01,7.188832833496850983e-01
3.393318243636975762e-01,2.464240770680683479e-01,7.106026790458613851e-01
3.682592805468143382e-01,2.280821968927703725e-01,7.016900216177618388e-01
3.987650340576589514e-01,2.103793415329001104e-01,6.921640480977284682e-01
4.308744280418816963e-01,1.933840688597465163e-01,6.820440433899240817e-01
4.646096453076240529e-01,1.771954210662358697e-01,6.713498562179530671e-01
4.999895073183164840e-01,1.619529185967208407e-01,6.601019145167492663e-01
5.370292721463154617e-01,1.478490129406486719e-01,6.483212292982278857e-01
5.370292721463150176e-01,1.478490129406487552e-01,6.483212292982283298e-01
5.541978253152948231e-01,1.418710013476748577e-01,6.425185589290222099e-01
5.711337701654529697e-01,1.361765417802599798e-01,6.361197003613030532e-01
5.878299983295615094e-01,1.307779832947903731e-01,6.291728505873871446e-01
6.042795020544561302e-01,1.256283285575773845e-01,6.217040384301013578e-01
6.204753771423360265e-01,1.207014108453088597e-01,6.137408333261995530e-01
6.364108258485980940e-01,1.160078024025117532e-01,6.053190062255046078e-01
6.520791597349916424e-01,1.115058739438588298e-01,5.964544845447010690e-01
6.674738024768949174e-01,1.071816690564876967e-01,5.871692004472565118e-01
6.825882926235341541e-01,1.030436374568667462e-01,5.774906762934274296e-01
6.974162863099894194e-01,9.905423271294272469e-02,5.674283886950055589e-01
7.119515599198453781e-01,9.520872223717564975e-02,5.570013870041982118e-01
7.261880126973726535e-01,9.151332567148330599e-02,5.462314915272723503e-01
7.401196693081415479e-01,8.793374627876110461e-02,5.351240074164945737e-01
7.537406823469930961e-01,8.447219097506568353e-02,5.236966670602862806e-01
7.670453347923175125e-01,8.113270552893202259e-02,5.119671963189146302e-01
7.800280424056056372e-01,7.788372493724933510e-02,4.999382105863399706e-01
7.926833560752696295e-01,7.473260641421122785e-02,4.876269824923374907e-01
8.050059641037492497e-01,7.168138053226946749e-02,4.750482000744755684e-01
8.169906944369399460e-01,6.870091224243732309e-02,4.622027965390401727e-01
8.286325168350122672e-01,6.580226877101955085e-02,4.491080074573055581e-01
8.399265449837074460e-01,6.298568437857031410e-02,4.357762100449251164e-01
8.508680385452247474e-01,6.022430087559641626e-02,4.222073747052768056e-01
8.614524051478398281e-01,5.753170232474920376e-02,4.084188485493739362e-01
8.716752023134179961e-01,5.490657873863120236e-02,3.944212242413948633e-01
8.815321393220143520e-01,5.232429942863441735e-02,3.802140496555461158e-01
8.910190790127788807e-01,4.979994798535664069e-02,3.658147543985150740e-01
9.001320395204072122e-01,4.733093894757012948e-02,3.512325487057879614e-01
9.088671959464131866e-01,4.489489385599991500e-02,3.364669843412641526e-01
9.172208819645173428e-01,4.250750378884965430e-02,3.215354264946591045e-01
9.251895913594806453e-01,4.016432355858756686e-02,3.064456087668773754e-01
9.327699794987350801e-01,3.784788680839577119e-02,2.911986947431569606e-01
9.399588647361961646e-01,3.557110811411443030e-02,2.758105030695193749e-01
9.467532297476649594e-01,3.332888707380465138e-02,2.602879974107902838e-01
9.531502227972619146e-01,3.110859140302782780e-02,2.446342166859030998e-01
9.591471589343596449e-01,2.891981627022028462e-02,2.288631915892989643e-01
9.647415211205122576e-01,2.675738257789099517e-02,2.129815183049963701e-01
9.699309612859088325e-01,2.461255072827751508e-02,1.969938638254047081e-01
