I_out, gain, alpha, beta
6.944429733473788009e-11,9.999944444537036681e-01,4.989389674390273255e-01,3.183098861837907120e-03
2.086124726381668321e-08,9.999037114394133674e-01,4.955827095408582017e-01,1.325195644909206959e-02
2.000598861035679521e-07,9.997018218617302887e-01,4.922265498728506938e-01,2.332081403634623032e-02
8.405806571007423678e-07,9.993888161227826306e-01,4.888705630953747439e-01,3.338967162360039626e-02
2.411888262797423632e-06,9.989647568624878682e-01,4.855148239100001151e-01,4.345852921085455872e-02
5.549683521426616861e-06,9.984297289476109505e-01,4.821594070773080887e-01,5.352738679810872119e-02
1.105547900001960238e-05,9.977838394569463754e-01,4.788043874347384099e-01,6.359624438536289059e-02
1.989606372680870205e-05,9.970272176626231442e-01,4.754498399144613807e-01,7.366510197261705306e-02
3.320285717882398568e-05,9.961600150075443638e-01,4.720958395613034098e-01,8.373395955987121553e-02
5.227115278170352264e-05,9.951824050789677134e-01,4.687424615507206349e-01,9.380281714712537799e-02
7.855925119870654783e-05,9.940945835782347695e-01,4.653897812068337192e-01,1.038716747343795266e-01
1.136874837256718340e-04,9.928967682866622901e-01,4.620378740205338675e-01,1.139405323216336891e-01
1.594371261498250814e-04,9.915891990276058943e-01,4.586868156676656705e-01,1.240093899088878654e-01
2.177492034683425892e-04,9.901721376247105688e-01,4.553366820272960469e-01,1.340782474961420279e-01
2.907231859040210198e-04,9.886458678563628810e-01,4.519875492000809403e-01,1.441471050833962042e-01
3.806155766931315632e-04,9.870106954063606608e-01,4.486394935267327688e-01,1.542159626706503528e-01
4.898383921604215763e-04,9.852669478108175838e-01,4.452925916066025058e-01,1.642848202579045014e-01
6.209575346338702673e-04,9.834149744013235273e-01,4.419469203163821636e-01,1.743536778451587055e-01
7.766910587913150588e-04,9.814551462443790175e-01,4.386025568289385612e-01,1.844225354324128263e-01
9.599073320686879462e-04,9.793878560771265285e-01,4.352595786322845384e-01,1.944913930196670027e-01
1.173623089795239327e-03,9.772135182394023900e-01,4.319180635487006037e-01,2.045602506069211513e-01
1.421001385761719304e-03,9.749325686021337312e-01,4.285780897540129586e-01,2.146291081941753276e-01
1.705349438960862551e-03,9.725454644921052161e-01,4.252397357970371106e-01,2.246979657814294762e-01
2.030116377277735307e-03,9.700526846131251046e-01,4.219030806191993999e-01,2.347668233686836525e-01
2.398890878941878357e-03,9.674547289636187264e-01,4.185682035743424345e-01,2.448356809559378289e-01
2.815398712589900487e-03,9.647521187506787888e-01,4.152351844487260357e-01,2.549045385431919497e-01
3.283500176819803551e-03,9.619453963006056041e-01,4.119041034812328528e-01,2.649733961304461816e-01
3.807187440153736446e-03,9.590351249659699873e-01,4.085750413837875294e-01,2.750422537177003024e-01
4.390581782359764818e-03,9.560218890292333516e-01,4.052480793620016897e-01,2.851111113049544787e-01
5.037930738113871598e-03,9.529062936029599751e-01,4.019232991360511820e-01,2.951799688922085996e-01
5.753605144017598372e-03,9.496889645266616276e-01,3.986007829617999598e-01,3.052488264794627759e-01
6.542096090018267862e-03,9.463705482603106400e-01,3.952806136521771485e-01,3.153176840667169523e-01
7.408011776307316110e-03,9.429517117745634947e-01,3.919628745988201768e-01,3.253865416539711286e-01
8.356074276804348333e-03,9.394331424377366790e-01,3.886476497939941877e-01,3.354553992412253050e-01
9.391116210363814609e-03,9.358155478995765497e-01,3.853350238527970539e-01,3.455242568284794813e-01
1.051807732086790237e-02,9.320996559718709440e-01,3.820250820356635435e-01,3.555931144157336021e-01
1.174200096739935750e-02,9.282862145059455061e-01,3.787179102711771272e-01,3.656619720029877785e-01
1.306803052571076096e-02,9.243759912670959089e-01,3.754135951792029746e-01,3.757308295902419548e-01
1.450140570223962255e-02,9.203697738060012679e-01,3.721122240943515180e-01,3.857996871774961312e-01
1.604745876193519605e-02,9.162683693271739260e-01,3.688138850897869081e-01,3.958685447647502520e-01
1.771161067119375598e-02,9.120726045544941263e-01,3.655186670013887973e-01,4.059374023520044283e-01
1.949936715721906078e-02,9.077833255938855261e-01,3.622266594522831618e-01,4.160062599392586047e-01
2.141631468514715309e-02,9.034013977931871775e-01,3.589379528777522088e-01,4.260751175265127810e-01
2.346811635429679743e-02,8.989277055992759280e-01,3.556526385505356380e-01,4.361439751137669574e-01
2.566050771492650595e-02,8.943631524125018606e-01,3.523708086065376888e-01,4.462128327010210227e-01
2.799929250689531246e-02,8.897086604384941699e-01,3.490925560709518538e-01,4.562816902882751990e-01
3.049033832165098934e-02,8.849651705373980937e-01,3.458179748848155821e-01,4.663505478755293754e-01
3.313957218897173318e-02,8.801336420706098451e-01,3.425471599320106253e-01,4.764194054627836072e-01
3.595297608991943061e-02,8.752150527450701656e-01,3.392802070667202963e-01,4.864882630500377836e-01
3.893658239746367045e-02,8.702103984551852189e-01,3.360172131413585728e-01,4.965571206372918489e-01
4.209646924625665143e-02,8.651206931224421082e-01,3.327582760349854230e-01,5.066259782245460253e-01
4.543875583304735066e-02,8.599469685327884028e-01,3.295034946822223421e-01,5.166948358118002016e-01
4.896959764923491942e-02,8.546902741718478413e-01,3.262529691026819223e-01,5.267636933990543779e-01
5.269518164707331920e-02,8.493516770580431530e-01,3.230068004309281093e-01,5.368325509863085543e-01
5.662172134104193066e-02,8.439322615737018252e-01,3.197650909469800240e-01,5.469014085735627306e-01
6.075545184590358527e-02,8.384331292942220903e-01,3.165279441073767241e-01,5.569702661608169070e-01
6.510262485298912161e-02,8.328553988153736265e-01,3.132954645768170066e-01,5.670391237480710833e-01
6.966950354622791775e-02,8.272002055788159058e-01,3.100677582603911242e-01,5.771079813353252597e-01
7.446235745947038520e-02,8.214687016959134613e-01,3.068449323364197956e-01,5.871768389225793250e-01
7.948745727663097949e-02,8.156620557699313379e-01,3.036270952899172704e-01,5.972456965098335013e-01
8.475106957619116255e-02,8.097814527166962151e-01,3.004143569466955488e-01,6.073145540970876777e-01
9.025945152159109419e-02,8.038280935838081342e-01,2.972068285081254646e-01,6.173834116843418540e-01
9.601884549904249333e-02,7.978031953684913136e-01,2.940046225865726726e-01,6.274522692715959193e-01
1.020354737042784565e-01,7.917079908341764227e-01,2.908078532415261930e-01,6.375211268588500957e-01
1.083155326797636819e-01,7.855437283259006920e-01,2.876166360164365554e-01,6.475899844461042720e-01
1.148651878038638996e-01,7.793116715846249987e-01,2.844310879762814714e-01,6.576588420333583374e-01
1.216905677334756408e-01,7.730130995605578592e-01,2.812513277458775773e-01,6.677276996206126247e-01
1.287977588015902786e-01,7.666493062255890223e-01,2.780774755489571204e-01,6.777965572078666900e-01
1.361927993712733764e-01,7.602216003849237014e-01,2.749096532480263533e-01,6.878654147951209774e-01
1.438816741474956418e-01,7.537313054880263596e-01,2.717479843850270083e-01,6.979342723823750427e-01
1.518703084482613264e-01,7.471797594389697483e-01,2.685925942228178376e-01,7.080031299696292191e-01
1.601645624364419485e-01,7.405683144062953360e-01,2.654436097874967038e-01,7.180719875568833954e-01
1.687702253137044472e-01,7.338983366324940416e-01,2.623011599115824821e-01,7.281408451441375718e-01
1.776930094779063385e-01,7.271712062432085233e-01,2.591653752780753717e-01,7.382097027313917481e-01
1.869385446452958011e-01,7.203883170562723759e-01,2.560363884654175415e-01,7.482785603186459245e-01
1.965123719388301993e-01,7.135510763906933729e-01,2.529143339933712098e-01,7.583474179058999898e-01
2.064199379438975690e-01,7.066609048756952172e-01,2.497993483698366379e-01,7.684162754931542771e-01
2.166665887326886253e-01,6.997192362599332638e-01,2.466915701386290238e-01,7.784851330804083425e-01
2.272575638584404256e-01,6.927275172209982346e-01,2.435911399282343903e-01,7.885539906676625188e-01
2.381979903207320781e-01,6.856872071753261633e-01,2.404982005015645352e-01,7.986228482549166952e-01
2.494928765029675866e-01,6.785997780886372510e-01,2.374128968067323875e-01,8.086917058421708715e-01
2.611471060831569435e-01,6.714667142870202055e-01,2.343353760288660048e-01,8.187605634294250478e-01
2.731654319190497393e-01,6.642895122687884069e-01,2.312657876429833337e-01,8.288294210166792242e-01
2.855524699086360307e-01,6.570696805172291377e-01,2.282042834679452736e-01,8.388982786039332895e-01
2.983126928269765887e-01,6.498087393143755497e-01,2.251510177215097497e-01,8.489671361911875769e-01
3.114504241402926699e-01,6.425082205559240478e-01,2.221061470765032519e-01,8.590359937784416422e-01
3.249698317981748463e-01,6.351696675674274317e-01,2.190698307181310200e-01,8.691048513656959296e-01
3.388749220047175825e-01,6.277946349218955779e-01,2.160422304024444962e-01,8.791737089529499949e-01
3.531695329693576024e-01,6.203846882589294509e-01,2.130235105159834774e-01,8.892425665402040602e-01
3.678573286380966145e-01,6.129414041055254447e-01,2.100138381366120355e-01,8.993114241274583476e-01
3.829417924057674227e-01,6.054663696986787302e-01,2.070133830955651066e-01,9.093802817147124129e-01
3.984262208099123015e-01,5.979611828099212767e-01,2.040223180407219339e-01,9.194491393019667003e-01
4.143137172068005469e-01,5.904274515719286631e-01,2.010408185011233195e-01,9.295179968892208766e-01
4.306071854300346224e-01,5.828667943073282398e-01,1.980690629527466773e-01,9.395868544764749419e-01
4.473093234321319223e-01,5.752808393598458636e-01,1.951072328855533722e-01,9.496557120637292293e-01
4.644226169094058942e-01,5.676712249279249889e-01,1.921555128718215599e-01,9.597245696509832946e-01
4.819493329103883283e-01,5.600395989009523401e-01,1.892140906357750729e-01,9.697934272382375820e-01
4.998915134279870998e-01,5.523876186982251690e-01,1.862831571245200379e-01,9.798622848254916473e-01
5.182509689754684068e-01,5.447169511107945450e-01,1.833629065802966918e-01,9.899311424127457126e-01
5.370292721463154617e-01,5.370292721463150176e-01,1.804535366140541941e-01,1.000000000000000000e+00
