wt, s, d, c, i1, i1ref
1.000000000000000021e-03,1.000000000000000000e+00,1.045384592435899318e+00,1.591549430918948183e-02,2.701795005793737451e-04,8.105383666483777531e-04
6.254217022738269016e-02,1.000000000000000000e+00,9.979856052892662754e-01,9.953895543382722533e-01,2.681983109503888185e-02,5.065979571420207994e-02
6.285616089180810773e-02,0.000000000000000000e+00,9.977436405731722191e-01,9.996131290289262949e-01,2.156925454143495888e-02,5.091379715339010292e-02
6.317015155623353917e-02,1.000000000000000000e+00,9.975016760795329951e-01,9.946158123961248432e-01,2.183716848208374847e-02,5.116779357297990966e-02
1.256542937768924950e-01,1.000000000000000000e+00,9.493869672659978054e-01,1.498024686377164016e-04,1.015736305239296061e-01,1.015798424187218107e-01
1.824866040378938514e-01,1.000000000000000000e+00,9.057909857230064254e-01,9.043645080684230564e-01,2.195597719777038215e-01,1.470928370079251368e-01
1.828005947023192690e-01,0.000000000000000000e+00,9.055508396827955941e-01,9.093618247012247302e-01,2.148140981013913486e-01,1.473431053989066319e-01
1.884524266619768684e-01,0.000000000000000000e+00,9.012298262068025867e-01,9.993135240916504181e-01,1.296159597739472147e-01,1.518454284898033968e-01
1.947322399504853030e-01,0.000000000000000000e+00,8.964324064555082572e-01,9.007401432523205465e-01,3.544873557088875499e-02,1.568423146995851503e-01
1.950462306149107483e-01,1.000000000000000000e+00,8.961926411084216726e-01,8.957428266195188726e-01,3.627126735047197376e-02,1.570919982850103314e-01
2.512505595470612696e-01,1.000000000000000000e+00,8.534620677580878612e-01,1.223149348060559305e-03,2.044813242907159712e-01,2.015123928609917348e-01
3.024310378484050266e-01,1.000000000000000000e+00,8.149500957530334544e-01,8.133394617985745256e-01,3.936376072346889909e-01,2.414122384510709873e-01
3.027450285128304719e-01,0.000000000000000000e+00,8.147152191498095997e-01,8.183367784313766435e-01,3.893857502135599780e-01,2.416551775803574831e-01
3.140486924321456152e-01,0.000000000000000000e+00,8.062720072155262763e-01,9.982401772122271311e-01,2.371650053619594190e-01,2.503849329787550260e-01
3.269223096735879297e-01,0.000000000000000000e+00,7.966863361566360879e-01,7.968698408429135682e-01,6.580260163206949620e-02,2.602881260656161877e-01
3.272363003380133750e-01,1.000000000000000000e+00,7.964529537922295788e-01,7.918725242101114503e-01,6.716672899364728444e-02,2.605291351224107155e-01
3.768468253172300164e-01,1.000000000000000000e+00,7.598456824107536756e-01,2.296496227483402208e-03,2.984564780824649488e-01,2.982703781559717382e-01
4.223754716589162017e-01,1.000000000000000000e+00,7.267682669577442134e-01,7.223144155287259949e-01,5.379429183631837530e-01,3.322626842469768027e-01
4.226894623233415915e-01,0.000000000000000000e+00,7.265420348338182954e-01,7.273117321615263364e-01,5.341666965096534270e-01,3.324948032183738245e-01
4.399589488667398074e-01,0.000000000000000000e+00,7.141414040302317412e-01,9.978358530343935939e-01,3.283410981654458216e-01,3.452102312786188287e-01
4.584843980678396935e-01,0.000000000000000000e+00,7.009337848466634657e-01,7.029941716991086054e-01,1.115998104576579053e-01,3.587358615858196043e-01
4.587983887322651388e-01,1.000000000000000000e+00,7.007107986674183664e-01,6.979968550663073756e-01,1.134793418890450295e-01,3.589640616022157227e-01
5.027570817518242086e-01,1.000000000000000000e+00,6.697939727161346113e-01,1.627473525894984618e-03,3.883184625702602588e-01,3.905525304306204371e-01
5.429478867982782120e-01,1.000000000000000000e+00,6.420839833576771349e-01,6.412840025244790354e-01,6.596369798216537017e-01,4.187745910335132771e-01
5.432618774627036018e-01,0.000000000000000000e+00,6.418697170919918094e-01,6.462813191572802651e-01,6.563136587021446422e-01,4.189924718776972257e-01
5.655552146369086097e-01,0.000000000000000000e+00,6.267483158139089960e-01,9.989091999138164368e-01,4.232602242932531622e-01,4.343551505683163061e-01
5.897324957976660675e-01,0.000000000000000000e+00,6.105589583162078782e-01,6.141158191881057604e-01,1.769193234011089966e-01,4.507718472063321768e-01
5.900464864620914573e-01,1.000000000000000000e+00,6.103501839175393684e-01,6.091185025553045307e-01,1.792806666397507576e-01,4.509833385197523636e-01
6.283533475219930109e-01,1.000000000000000000e+00,5.851741326326753700e-01,5.541266464721417151e-04,4.755998910754005160e-01,4.764454081991089662e-01
6.635203019376402223e-01,1.000000000000000000e+00,5.625966774520366753e-01,5.602535895202329641e-01,7.617648514820680727e-01,4.992058473115571493e-01
6.638342926020656121e-01,0.000000000000000000e+00,5.623974882129990638e-01,5.652509061530341938e-01,7.588625763201239938e-01,4.994063263760659122e-01
6.911514804070773010e-01,0.000000000000000000e+00,5.452353214764864564e-01,9.999825467932410561e-01,5.103533829417695733e-01,5.166573704936565647e-01
7.206666028630670517e-01,0.000000000000000000e+00,5.270740612166462391e-01,5.302347833099041452e-01,2.505768204434764557e-01,5.348627514263707416e-01
7.209805935274924416e-01,1.000000000000000000e+00,5.268830431552345983e-01,5.252374666771029155e-01,2.533783563684554041e-01,5.350539488519119313e-01
7.539496132921617022e-01,1.000000000000000000e+00,5.070893335064590168e-01,5.192202329507011882e-04,5.530554624481786030e-01,5.548325094444702676e-01
7.844067077414276223e-01,1.000000000000000000e+00,4.892792932051834853e-01,4.842204931487881225e-01,8.394223977441925832e-01,5.725687492034523540e-01
7.847206984058531232e-01,0.000000000000000000e+00,4.890981235932339022e-01,4.892178097815911286e-01,8.369041431853838642e-01,5.727488590618389219e-01
8.167477461772461034e-01,0.000000000000000000e+00,4.708865520195407717e-01,9.989441063273378774e-01,5.849417696471307382e-01,5.908203268324094815e-01
8.509727285996170343e-01,0.000000000000000000e+00,4.520254526309935850e-01,4.563483806973067658e-01,3.261676007970344959e-01,6.094617589345722175e-01
8.512867192640425351e-01,1.000000000000000000e+00,4.518553528950153275e-01,4.513510640645037597e-01,3.293596134446553081e-01,6.096295095368460260e-01
8.795458790623305045e-01,1.000000000000000000e+00,4.367696995909857716e-01,1.592567112373544091e-03,6.201977939485774360e-01,6.244789475372645171e-01
9.059210948740659131e-01,1.000000000000000000e+00,4.230952988183261931e-01,4.181820300429475168e-01,8.978581487392276461e-01,6.378887498237383324e-01
9.062350855384913029e-01,0.000000000000000000e+00,4.229349068756128593e-01,4.231793466757469702e-01,8.956817878279248468e-01,6.380457358765505571e-01
9.423440119474149057e-01,0.000000000000000000e+00,4.048732754177658544e-01,9.978707594479150345e-01,6.507965958731519729e-01,6.556756788534149338e-01
9.809648636717417380e-01,0.000000000000000000e+00,3.864144796955977235e-01,3.874592947175088398e-01,4.003256196377071863e-01,6.735854055520671402e-01
9.812788543361671278e-01,1.000000000000000000e+00,3.862681219328455429e-01,3.824619780847076100e-01,4.038532456015472283e-01,6.737269314293469202e-01
1.005456135496924475e+00,1.000000000000000000e+00,3.751813681920512789e-01,2.331402641001290021e-03,6.776781394227313626e-01,6.844239045984237269e-01
1.028063463335554983e+00,1.000000000000000000e+00,3.651448211065638771e-01,3.621382002027075941e-01,9.375533781012980183e-01,6.940644568165825756e-01
1.028377453999980373e+00,0.000000000000000000e+00,3.650076973944930137e-01,3.671355168355070475e-01,9.356710185893455378e-01,6.941958670556054312e-01
1.068254268382008876e+00,0.000000000000000000e+00,3.481063778563008304e-01,9.982052707987101314e-01,7.020779484057549924e-01,7.103243319093259789e-01
1.110015026750589939e+00,0.000000000000000000e+00,3.315180892603188934e-01,3.335621586361199320e-01,4.685289603032604111e-01,7.260036864884583663e-01
1.110329017415015551e+00,1.000000000000000000e+00,3.313977453487444436e-01,3.285648420033133732e-01,4.723308990523791828e-01,7.261168143058349678e-01
1.131052401267093277e+00,1.000000000000000000e+00,3.236013540458413384e-01,1.258055761578447118e-03,7.245496787888059398e-01,7.334244407432600754e-01
1.150833813125894833e+00,1.000000000000000000e+00,3.164302679623549608e-01,3.160890036280683546e-01,9.676098176941413387e-01,7.401061305547051994e-01
1.151147803790320223e+00,0.000000000000000000e+00,3.163185904298467799e-01,3.210863202608713607e-01,9.659683868911608240e-01,7.402098610143783564e-01
1.193850534152177678e+00,0.000000000000000000e+00,3.017629031528127337e-01,9.992786176781329743e-01,7.476291033518251972e-01,7.536331633179729206e-01
1.238437208500587694e+00,0.000000000000000000e+00,2.879239855327020425e-01,2.896596558203263783e-01,5.293178497765502755e-01,7.661819895919697032e-01
1.238751199165013084e+00,1.000000000000000000e+00,2.878315164585111274e-01,2.846623391875233722e-01,5.333300038769959173e-01,7.662649890388079088e-01
1.256648667037262079e+00,1.000000000000000000e+00,2.826771191131777217e-01,1.847088821556042149e-04,7.627282765901739481e-01,7.708708305911974312e-01
1.273918153580660295e+00,1.000000000000000000e+00,2.779213748600740663e-01,2.750371236862356739e-01,9.853459136686621989e-01,7.750810048205279967e-01
1.274232144245085685e+00,0.000000000000000000e+00,2.778368958499332075e-01,2.800344403190386799e-01,9.838874573719060823e-01,7.751554175648796008e-01
1.319446799922346480e+00,0.000000000000000000e+00,2.664192439977660642e-01,9.996480354424441828e-01,7.777334435602871743e-01,7.850694863406894042e-01
1.365917418257308835e+00,0.000000000000000000e+00,2.562471450482231017e-01,2.607491029029418428e-01,5.729970421854829743e-01,7.935865976572749059e-01
1.366231408921734225e+00,1.000000000000000000e+00,2.561838537228614543e-01,2.557517862701423894e-01,5.771525227981576522e-01,7.936383365156430836e-01
