wt, s1, s2, s, d, c, e
0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-03
6.786518783632317087e-02,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,6.781310556636374609e-02,5.679567956795679162e-01,1.126972202461627576e-01
1.357303756726463417e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.353140052708010632e-01,1.359135913591358324e-01,2.317040461865367551e-01
1.363587570415011885e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.359365805125754556e-01,1.319131913191315952e-01,2.308399827670493398e-01
1.803454528613402663e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.793694343553626780e-01,-1.481148114811481342e-01,1.718991890469374340e-01
2.249605300500341909e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.230678868833363415e-01,-4.321432143214321009e-01,1.152099329622021939e-01
2.695756072387281432e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.663223952887723289e-01,-7.161716171617162896e-01,6.160779704815227964e-02
3.141906844274220956e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.090468755321966743e-01,-9.997999799979995217e-01,1.105815651135112591e-02
3.738869144686322588e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.652365678307686880e-01,-6.197619761976196351e-01,-5.187577125369459419e-02
4.335831445098424775e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.201250750119638888e-01,-2.397239723972397485e-01,-1.095325678737362474e-01
4.932793745510526406e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.735168522838588689e-01,1.403140314031405822e-01,-1.620452715622304474e-01
5.536039859611177061e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,5.257563141743986090e-01,5.243524352435251501e-01,-2.100394904698656418e-01
5.542323673299724973e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,5.262907336698779970e-01,5.283528352835284991e-01,-2.085131997361957812e-01
5.913068680924082887e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,5.574464773582739063e-01,7.643764376437638397e-01,-1.175237127126855935e-01
6.283813688548441911e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,5.878360882526012521e-01,9.995999599959990434e-01,-2.471881286325624746e-02
6.855640734206349673e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,6.331097400425447219e-01,6.355635563556347734e-01,1.218719998348407052e-01
6.861924547894897586e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.335960211851683344e-01,6.315631563156314243e-01,1.215055958560258692e-01
