wt, s1, s2, s, d, c, e
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.393259391816158543e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,3.392608250990029883e-02,7.839783978397840691e-01,9.330551412025972664e-04
6.786518783632317087e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,6.781310556636374609e-02,5.679567956795679162e-01,3.697220246162815152e-03
1.017977817544847563e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.016220546855105406e-01,3.519351935193517633e-01,8.289312902700360711e-03
1.357303756726463417e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.353140052708010632e-01,1.359135913591358324e-01,1.470404618653675145e-02
1.363587570415011885e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.359365805125754556e-01,1.319131913191315952e-01,1.383998276704932751e-02
1.860008851810338593e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.849302475547827396e-01,-1.841184118411840487e-01,-5.245867766239784707e-02
1.866292665498887060e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.855477538294932616e-01,-1.881188118811882859e-01,-5.227312990856835401e-02
2.500957848042279497e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.474967652060764967e-01,-5.921592159215922635e-01,-3.036606434553727404e-02
3.141906844274220956e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.090468755321966743e-01,-9.997999799979995217e-01,-1.941843488648865466e-03
3.613192870915353794e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.535086429455495671e-01,-6.997699769976994943e-01,2.293081830911544369e-02
4.084478897556487187e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.971853757975073451e-01,-3.997399739973999111e-01,5.110889314193079597e-02
4.090762711245035099e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.977619870568642746e-01,-3.957395739573956739e-01,5.050665512898765835e-02
4.448940091492296633e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.303622094108533469e-01,-1.677167716771674755e-01,1.712701760817863378e-02
4.813401285428106080e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.629674477341990113e-01,6.430643064306451606e-02,-1.494725250437350592e-02
5.171578665675367059e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.944116764318302604e-01,2.923292329232927145e-01,-4.464330882490286784e-02
5.536039859611177061e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,5.257563141743986090e-01,5.243524352435251501e-01,-7.303949046986576987e-02
5.542323673299724973e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,5.262907336698779970e-01,5.283528352835284991e-01,-7.251319973619588244e-02
5.913068680924082887e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,5.574464773582739063e-01,7.643764376437638397e-01,-4.052371271268564307e-02
6.283813688548441911e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,5.878360882526012521e-01,9.995999599959990434e-01,-6.718812863256301733e-03
6.855640734206349673e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,6.331097400425447219e-01,6.355635563556347734e-01,4.887199983484063343e-02
6.861924547894897586e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.335960211851683344e-01,6.315631563156314243e-01,4.850559585602579743e-02
7.414900152487160501e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.753874921257229103e-01,2.795279527952798659e-01,1.813644510345517602e-02
7.974159570767972438e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.155533778695972735e-01,-7.650765076507681783e-02,-8.930467269019859433e-03
8.533418989048783265e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.534818027331378065e-01,-4.325432543254326134e-01,-3.252239559662595259e-02
9.092678407329595203e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.890541684824330382e-01,-7.885788578857892972e-01,-5.284386410655737137e-02
9.098962221018143115e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.894400421947431745e-01,-7.925792579257926462e-01,-5.205442406436262825e-02
9.425720532822662312e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.090723937762559492e-01,-9.993999399939985651e-01,-1.047958757297509820e-02
9.695924521430244747e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.246552582275532561e-01,-8.273827382738270231e-01,2.465548445555571996e-02
9.702208335118793769e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.250105303043830940e-01,-8.233823382338227859e-01,2.448049498586010037e-02
1.004781808798895781e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.440449768908409034e-01,-6.033603360336030619e-01,1.539360640880155749e-02
1.039342784085912186e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.620713450078903994e-01,-3.833383338333833379e-01,7.325487622242696055e-03
1.073903759372928590e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.790681050047689515e-01,-1.633163316331636139e-01,2.200859035497426664e-04
1.109093116028800008e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.952950610046475077e-01,6.070607060706212366e-02,-6.084506222452888517e-03
1.143654091315816412e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.101533549659055478e-01,2.807280728072818476e-01,-1.142230461414144548e-02
1.178215066602832817e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.239246144371525693e-01,5.007500750075024598e-01,-1.597325545236620917e-02
1.212776041889849221e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.365923918231185974e-01,7.207720772077221838e-01,-1.979761216159449042e-02
1.247965398545720417e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.483411002519726019e-01,9.447944794479452568e-01,-2.300815486801605428e-02
1.248593779914575208e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,9.485402685753386853e-01,9.487948794879486059e-01,-2.205961459944071751e-02
1.256762737709688382e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,9.510953448886929618e-01,9.991999199919980867e-01,-9.710637314567492975e-03
1.263674932767091530e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,9.532077665931260047e-01,9.551955195519550301e-01,7.641273662839269875e-04
1.264303314135946321e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.533975481186806045e-01,9.511951195119507929e-01,7.175249144026075434e-04
1.302634577636091917e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.642595870070733710e-01,7.071707170717065338e-01,-1.781340952028101282e-03
1.340965841136237291e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.737050264757258766e-01,4.631463146314640511e-01,-3.661461200567114101e-03
1.379297104636382887e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.817199901740676360e-01,2.191219121912197920e-01,-5.009689193607202648e-03
1.417628368136528483e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.882927032718792359e-01,-2.490249024902624342e-02,-5.913659699576041123e-03
1.455959631636673857e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.934135097577649898e-01,-2.689268926892687261e-01,-6.461660148183475186e-03
1.494290895136819453e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.970748866248561049e-01,-5.129512951295129852e-01,-6.742500926840264489e-03
1.532622158636964826e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.992714549229037013e-01,-7.569756975697572443e-01,-6.845384908796589563e-03
1.570953422137110422e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.999999876605267790e-01,-9.989998999899984966e-01,-6.859776404677318286e-03
1.609284685637255796e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.992594145460037547e-01,-7.549754975497560139e-01,-6.875269729938094168e-03
1.647615949137401392e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.970508235596444724e-01,-5.109510951095117548e-01,-6.981457581330543539e-03
1.685947212637546766e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.933774593554322019e-01,-2.669266926692657194e-01,-7.267799415745552702e-03
1.724278476137692362e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.882447184942827478e-01,-2.290229022902146028e-02,-7.823490024800001247e-03
1.762609739637837736e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.816601415159261768e-01,2.211221122112210224e-01,-8.737328498244791714e-03
1.800941003137983332e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.736334018610542929e-01,4.651465146514652815e-01,-1.009758776870081295e-02
1.839272266638128706e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.641762916600135069e-01,7.091709170917095406e-01,-1.199188492937547541e-02
1.877603530138274301e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.533027044089158464e-01,9.531953195319520233e-01,-1.450705251527670096e-02
1.878231911507129093e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,9.531127346806828049e-01,9.571957195719580369e-01,-1.355393978059601587e-02
