wt, s1, s2, s, d, c, e
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.267583118045189194e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,3.855061979161602398e-02,7.919791979197920995e-01,6.419408427254419706e-04
6.598004372975863063e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,7.779997428874435572e-02,5.799579957995799617e-01,2.591739122012674292e-03
9.865587491021053645e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.162251818280410909e-01,3.719371937193718392e-01,5.773742331348161692e-03
1.319600874595172613e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.552613796542960944e-01,1.599159915991599235e-01,1.030679462568117460e-02
1.325884688283721080e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.559963923755201542e-01,1.559155915591561303e-01,9.776491519017905044e-03
1.922846988695822990e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.255003412182957356e-01,-2.241224122412242004e-01,-3.850273182384057052e-02
1.929130802384371457e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.262281211423142480e-01,-2.281228122812282155e-01,-3.836058850315735708e-02
2.532376916485021834e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.956368421137912095e-01,-6.121612161216121173e-01,-2.259493244546577004e-02
3.141906844274220956e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.646753131279920623e-01,-9.997999799979995217e-01,-2.445023221401794195e-03
3.562922361406966054e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.115860477278149854e-01,-7.317731773177316157e-01,1.391139743549416052e-02
3.990221692228260175e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.584506671015468604e-01,-4.597459745974599166e-01,3.251539476685329916e-02
