wt, s1, s2, s3, d1, d2, d3, c
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-8.660254037844387076e-01,8.660254037844384856e-01,1.000000000000000000e+00
2.262172927877438913e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.261979991091502343e-02,-8.771137221282362395e-01,8.544939222173210114e-01,8.559855985598558981e-01
2.325011064762923241e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.324801599465149346e-02,-8.774153496693446463e-01,8.541673336746929968e-01,8.519851985198521049e-01
1.357303756726463417e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.353140052708010632e-01,-9.257173676349618185e-01,7.904033623641603112e-01,1.359135913591358324e-01
1.363587570415011885e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.359365805125754556e-01,-9.259548487517639259e-01,7.900182682391881928e-01,1.319131913191315952e-01
3.104203962142930151e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.054589669022148013e-01,-9.773634111149368531e-01,6.719044442127215522e-01,-9.761976197619763873e-01
3.110487775831478618e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.060572545878873507e-01,-9.774961631530543205e-01,6.714389085651667477e-01,-9.801980198019804025e-01
3.141906844274220956e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.090468755321966743e-01,-9.781541326426553828e-01,6.691072571104582645e-01,-9.997999799979995217e-01
3.173325912716962738e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.120334456984871219e-01,-9.788024462147787430e-01,6.667690005162911770e-01,-9.797979797979796679e-01
3.179609726405511205e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.126303910434214961e-01,-9.789309496542388800e-01,6.663005586108171618e-01,-9.757975797579758748e-01
5.460634095348595451e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,5.193271477237759726e-01,-9.997476807225984530e-01,4.804205329988220918e-01,4.763476347634765240e-01
5.466917909037144474e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.198640444897986157e-01,-9.997333681716498166e-01,4.798693236818505903e-01,4.803480348034807612e-01
