wt, s1, s2, s3, d1, d2, d3, c
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.021909976465637637e+00,1.021909976465637415e+00,1.000000000000000000e+00
1.319600874595172613e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.552613796542960944e-01,-1.090656073512514368e+00,9.353946938582177184e-01,1.599159915991599235e-01
1.325884688283721080e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.559963923755201542e-01,-1.090938887528752232e+00,9.349424951532318007e-01,1.559155915591561303e-01
3.141906844274220956e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.646753131279920623e-01,-1.154221876518333190e+00,7.895465633903406832e-01,-9.997999799979995217e-01
5.580026555431015778e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.248015974486372803e-01,-1.179301728974842201e+00,5.545001315262043651e-01,5.523552355235525901e-01
5.586310369119564800e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.254304906958051413e-01,-1.179275991043784666e+00,5.538455003479793026e-01,5.563556355635563833e-01
5.711986642890533039e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.379561645976050688e-01,-1.178663460235949367e+00,5.407072956383436324e-01,6.363636363636366866e-01
5.718270456579082062e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.385798196987563236e-01,-1.178627946017408945e+00,5.400481263186519554e-01,6.403640364036409238e-01
6.283813688548441911e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.936465841380694552e-01,-1.173528083536455213e+00,4.798814993983852584e-01,9.995999599959990434e-01
6.698545391992638542e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.326289188653597462e-01,-1.167401939319633541e+00,4.347730204542733512e-01,7.355735573557353746e-01
6.704829205681186455e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.332100370940088929e-01,-1.167293647870820461e+00,4.340836107768114016e-01,7.315731573157320256e-01
7.270372437650546305e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.842975506908734795e-01,-1.155665647447960964e+00,3.713680967570872626e-01,3.715371537153719927e-01
7.276656251339095327e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.848513977763981186e-01,-1.155515610075816157e+00,3.706642122994175392e-01,3.675367536753668674e-01
9.425720532822662312e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.547054246559819601e-01,-1.077938396555754297e+00,1.232329718997717538e-01,-9.993999399939985651e-01
